latitude,longitude,data,dia_semana,mes,is_weekend,hora,Sinistro,Chuva,tipo_via_num,tp_veiculo_bicicleta,tp_veiculo_caminhao,tp_veiculo_motocicleta,tp_veiculo_nao_disponivel,tp_veiculo_onibus,tp_veiculo_outros,tp_veiculo_automovel
"-22,32727712","-49,08541099",2022-12-03,5,12,1,17,0,0,"0,0",0,0,0,0,0,0,0
"-22,3214","-49,0218",2022-12-05,0,12,0,11,0,0,"0,0",0,0,0,0,0,0,0
"-22,35149669","-49,09712881",2024-04-02,1,4,0,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,3215874","-49,07661188",2024-12-06,4,12,0,20,1,0,"0,0",0,0,0,0,0,0,1
"-22,32676","-49,080475",2023-05-11,3,5,0,22,0,1,"0,0",0,0,0,0,0,0,0
"-22,32290495","-49,07813031",2024-06-28,4,6,0,23,0,1,"0,0",0,0,0,0,0,0,0
"-22,312057202802546","-49,12762346032418",2025-03-23,6,3,1,2,0,0,"0,0",0,0,0,0,0,0,0
"-22,2830076","-49,0889187",2025-12-05,4,12,0,20,0,0,"1,0",0,0,0,0,0,0,0
"-22,35057398","-49,08453731",2022-11-18,4,11,0,11,0,1,"0,0",0,0,0,0,0,0,0
"-22,35480817","-49,05389812",2022-04-08,4,4,0,23,0,1,"0,0",0,0,0,0,0,0,0
"-22,3015876","-49,067262",2025-02-27,3,2,0,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,31348609","-49,08642064",2022-03-04,4,3,0,20,1,0,"0,0",0,0,2,0,0,0,0
"-22,32002547","-49,06856044",2024-12-23,0,12,0,0,0,0,"0,0",0,0,0,0,0,0,0
"-22,34226974","-49,10009517",2022-05-15,6,5,1,11,0,0,"0,0",0,0,0,0,0,0,0
"-22,33061056","-49,07604299",2023-03-14,1,3,0,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,29997234347375","-49,08569541027419",2023-09-25,0,9,0,3,0,0,"0,0",0,0,0,0,0,0,0
"-22,29308343720921","-49,07205867663163",2025-10-12,6,10,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,19966122456032","-49,08535286142984",2022-03-23,2,3,0,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,3579572332624","-49,100743883411766",2022-01-13,3,1,0,22,0,0,"0,0",0,0,0,0,0,0,0
"-22,153121200200133","-49,13303987505111",2022-07-17,6,7,1,9,0,0,"0,0",0,0,0,0,0,0,0
"-22,29414116","-49,07233743",2022-11-15,1,11,0,14,0,0,"1,0",0,0,0,0,0,0,0
"-22,3201829616","-49,0772046097",2023-02-04,5,2,1,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,326702138274708","-49,06169619908814",2024-11-03,6,11,1,8,0,0,"0,0",0,0,0,0,0,0,0
"-22,3348447","-49,0967021",2022-05-31,1,5,0,22,0,0,"0,0",0,0,0,0,0,0,0
"-22,290428221780125","-49,071281894492785",2023-12-01,4,12,0,14,0,1,"0,0",0,0,0,0,0,0,0
"-22,310614","-49,10918",2023-08-04,4,8,0,12,1,0,"0,0",0,0,0,1,0,0,0
"-22,368344696726897","-49,03499209873165",2025-03-14,4,3,0,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,31106641","-49,06289533",2025-01-26,6,1,1,22,0,0,"0,0",0,0,0,0,0,0,0
"-22,206252857968437","-49,18324190393993",2022-01-09,6,1,1,0,0,0,"0,0",0,0,0,0,0,0,0
"-22,214530896303664","-49,04641905028303",2024-04-22,0,4,0,21,0,1,"1,0",0,0,0,0,0,0,0
"-22,14511368532518","-49,19663780884731",2024-10-02,2,10,0,21,0,0,"0,0",0,0,0,0,0,0,0
"-22,325692677412903","-49,10739326869162",2025-01-08,2,1,0,1,0,0,"0,0",0,0,0,0,0,0,0
"-22,34334967","-49,05858104",2023-06-12,0,6,0,20,0,0,"0,0",0,0,0,0,0,0,0
"-22,11849665349746","-49,15044631164509",2023-07-12,2,7,0,7,0,0,"0,0",0,0,0,0,0,0,0
"-22,3414515","-49,0565574",2022-01-16,6,1,1,20,0,0,"0,0",0,0,0,0,0,0,0
"-22,330791","-49,078228",2024-09-29,6,9,1,16,0,0,"0,0",0,0,0,0,0,0,0
"-22,30678311","-49,00753977",2024-06-22,5,6,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,37131032","-49,06087265",2023-12-23,5,12,1,22,1,0,"0,0",0,0,0,0,0,0,0
"-22,34527408777634","-49,142142858846775",2025-11-13,3,11,0,3,0,0,"0,0",0,0,0,0,0,0,0
"-22,285709200067853","-49,04562309541773",2022-01-17,0,1,0,12,0,1,"0,0",0,0,0,0,0,0,0
"-22,330866746997895","-49,10643371821311",2025-12-05,4,12,0,10,0,0,"0,0",0,0,0,0,0,0,0
"-22,33093857285166","-49,05069159098517",2024-10-21,0,10,0,5,0,0,"1,0",0,0,0,0,0,0,0
"-22,30831045963413","-49,04955188058126",2022-04-12,1,4,0,8,0,0,"0,0",0,0,0,0,0,0,0
"-22,34325439","-49,07711639",2024-02-15,3,2,0,13,0,1,"0,0",0,0,0,0,0,0,0
"-22,31460198","-49,05514331",2022-02-19,5,2,1,23,1,0,"1,0",0,0,0,0,0,0,1
"-22,333028348992443","-49,04158379942529",2023-10-05,3,10,0,9,0,1,"0,0",0,0,0,0,0,0,0
"-22,342988988855485","-49,086411295175665",2023-03-18,5,3,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,313134669832632","-49,06928630759829",2022-01-23,6,1,1,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,33497609048648","-49,11384155537748",2023-11-27,0,11,0,15,0,0,"0,0",0,0,0,0,0,0,0
"-22,303554642965818","-49,08124455820094",2025-04-02,2,4,0,15,0,0,"0,0",0,0,0,0,0,0,0
"-22,3258962","-49,07970414",2024-01-27,5,1,1,3,0,0,"0,0",0,0,0,0,0,0,0
"-22,3409777","-49,0619948",2025-02-26,2,2,0,8,1,0,"0,0",0,0,1,0,0,0,0
"-22,34407721235618","-49,064803405041694",2023-08-18,4,8,0,18,0,0,"0,0",0,0,0,0,0,0,0
"-22,324265228186555","-49,094715267546995",2025-08-15,4,8,0,8,0,1,"0,0",0,0,0,0,0,0,0
"-22,327383132656024","-49,06164455263033",2023-03-23,3,3,0,13,0,0,"0,0",0,0,0,0,0,0,0
"-22,28217685","-49,06782316",2024-10-03,3,10,0,2,0,0,"0,0",0,0,0,0,0,0,0
"-22,29090941908137","-49,086575190904895",2023-06-02,4,6,0,2,0,0,"0,0",0,0,0,0,0,0,0
"-22,40164898726162","-49,071469723081144",2022-10-18,1,10,0,8,0,0,"0,0",0,0,0,0,0,0,0
"-22,37428439","-49,04888508",2024-11-05,1,11,0,15,0,0,"0,0",0,0,0,0,0,0,0
"-22,23161633370911","-49,068374571181565",2024-07-28,6,7,1,1,0,0,"0,0",0,0,0,0,0,0,0
"-22,3075","-49,106",2022-10-01,5,10,1,22,1,0,"0,0",0,0,0,2,0,0,0
"-22,294263204655785","-49,030998608031275",2022-02-15,1,2,0,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,267307301488387","-49,06498659059553",2022-03-26,5,3,1,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,32042933228076","-49,102958828676805",2025-02-05,2,2,0,7,0,0,"0,0",0,0,0,0,0,0,0
"-22,33765036","-49,05905603",2022-09-21,2,9,0,6,0,1,"0,0",0,0,0,0,0,0,0
"-22,329703155750693","-49,097808725513026",2024-12-02,0,12,0,11,0,0,"0,0",0,0,0,0,0,0,0
"-22,3742843871","-49,0488850824",2025-01-06,0,1,0,8,0,1,"0,0",0,0,0,0,0,0,0
"-22,320840393718363","-49,04277613879493",2022-08-17,2,8,0,0,0,0,"0,0",0,0,0,0,0,0,0
"-22,3574","-49,0281",2022-02-06,6,2,1,17,1,1,"0,0",0,0,0,1,0,0,0
"-22,33379132","-49,05563606",2022-01-01,5,1,1,23,0,0,"0,0",0,0,0,0,0,0,0
"-22,32676139","-49,08067736",2023-02-02,3,2,0,6,0,0,"0,0",0,0,0,0,0,0,0
"-22,31704102","-49,0498842",2023-09-30,5,9,1,19,1,0,"0,0",0,0,0,0,0,0,1
"-22,31196193","-49,07002824",2023-06-09,4,6,0,20,1,0,"0,0",0,0,1,0,0,0,1
"-22,31652585","-49,07281037",2023-07-23,6,7,1,6,0,1,"0,0",0,0,0,0,0,0,0
"-22,348268085481486","-49,05326610118129",2023-01-08,6,1,1,16,0,0,"0,0",0,0,0,0,0,0,0
"-22,3470785","-49,0456393",2025-03-04,1,3,0,10,0,0,"1,0",0,0,0,0,0,0,0
"-22,29983687","-49,06568767",2023-06-03,5,6,1,4,1,0,"1,0",0,0,0,0,0,0,1
"-22,33180868","-49,07793576",2023-02-14,1,2,0,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,415927698432615","-49,088350358114326",2025-09-23,1,9,0,17,0,0,"0,0",0,0,0,0,0,0,0
"-22,34030644564825","-49,11405289419058",2023-05-29,0,5,0,4,0,0,"0,0",0,0,0,0,0,0,0
"-22,35188293501494","-49,08937301051804",2025-05-07,2,5,0,19,0,0,"0,0",0,0,0,0,0,0,0
"-22,355150160862717","-49,09913579482745",2024-09-04,2,9,0,12,0,0,"0,0",0,0,0,0,0,0,0
"-22,3270329","-49,1182164",2024-07-21,6,7,1,21,1,0,"1,0",0,0,1,0,0,0,1
"-22,3158559","-49,1456652",2023-01-25,2,1,0,17,0,0,"1,0",0,0,0,0,0,0,0
"-22,28780043","-49,08016493",2025-03-16,6,3,1,8,0,0,"1,0",0,0,0,0,0,0,0
"-22,36849732099013","-49,05848037503144",2023-08-04,4,8,0,3,0,1,"0,0",0,0,0,0,0,0,0
"-22,31823614","-49,01701615",2023-02-18,5,2,1,11,0,1,"0,0",0,0,0,0,0,0,0
"-22,31613751","-49,06974896",2022-08-05,4,8,0,20,0,0,"0,0",0,0,0,0,0,0,0
